,13_vwap,13_vol,13_return
2010-01-05,2345.0304971888518,0.0,1.0
2010-01-06,2345.0304971888518,0.0,1.0
2010-01-07,2345.0304971888518,0.0,1.0
2010-01-08,2345.0304971888518,0.0,1.0
2010-01-09,2345.0304971888518,0.0,1.0
2010-01-10,2345.0304971888518,0.0,1.0
2010-01-11,2345.0304971888518,0.0,1.0
2010-01-12,2345.0304971888518,0.0,1.0
2010-01-13,2345.0304971888518,0.0,1.0
2010-01-14,2345.0304971888518,0.0,1.0
2010-01-15,2345.0304971888518,0.0,1.0
2010-01-16,2345.0304971888518,0.0,1.0
2010-01-17,2345.0304971888518,0.0,1.0
2010-01-18,2345.0304971888518,0.0,1.0
2010-01-19,2345.0304971888518,0.0,1.0
2010-01-20,2345.0304971888518,0.0,1.0
2010-01-21,2345.0304971888518,0.0,1.0
2010-01-22,2345.0304971888518,0.0,1.0
2010-01-23,2345.0304971888518,0.0,1.0
2010-01-24,2345.0304971888518,0.0,1.0
2010-01-25,2345.0304971888518,0.0,1.0
2010-01-26,2345.0304971888518,0.0,1.0
2010-01-27,2345.0304971888518,0.0,1.0
2010-01-28,2345.0304971888518,0.0,1.0
2010-01-29,2345.0304971888518,0.0,1.0
2010-01-30,2345.0304971888518,0.0,1.0
2010-01-31,2345.0304971888518,0.0,1.0
2010-02-01,2345.0304971888518,0.0,1.0
2010-02-02,2345.0304971888518,0.0,1.0
2010-02-03,2345.0304971888518,0.0,1.0
2010-02-04,2345.0304971888518,0.0,1.0
2010-02-05,2345.0304971888518,0.0,1.0
2010-02-06,2345.0304971888518,0.0,1.0
2010-02-07,2345.0304971888518,0.0,1.0
2010-02-08,2345.0304971888518,0.0,1.0
2010-02-09,2345.0304971888518,0.0,1.0
2010-02-10,2345.0304971888518,0.0,1.0
2010-02-11,2345.0304971888518,0.0,1.0
2010-02-12,2345.0304971888518,0.0,1.0
2010-02-13,2345.0304971888518,0.0,1.0
2010-02-14,2345.0304971888518,0.0,1.0
2010-02-15,2345.0304971888518,0.0,1.0
2010-02-16,2345.0304971888518,0.0,1.0
2010-02-17,2345.0304971888518,0.0,1.0
2010-02-18,2345.0304971888518,0.0,1.0
2010-02-19,2345.0304971888518,0.0,1.0
2010-02-20,2345.0304971888518,0.0,1.0
2010-02-21,2345.0304971888518,0.0,1.0
2010-02-22,2345.0304971888518,0.0,1.0
2010-02-23,2345.0304971888518,0.0,1.0
2010-02-24,2345.0304971888518,0.0,1.0
2010-02-25,2345.0304971888518,0.0,1.0
2010-02-26,2345.0304971888518,0.0,1.0
2010-02-27,2345.0304971888518,0.0,1.0
2010-02-28,2345.0304971888518,0.0,1.0
2010-03-01,2345.0304971888518,0.0,1.0
2010-03-02,2345.0304971888518,0.0,1.0
2010-03-03,2345.0304971888518,0.0,1.0
2010-03-04,2345.0304971888518,0.0,1.0
2010-03-05,2345.0304971888518,0.0,1.0
2010-03-06,2345.0304971888518,0.0,1.0
2010-03-07,2345.0304971888518,0.0,1.0
2010-03-08,2345.0304971888518,0.0,1.0
2010-03-09,2345.0304971888518,0.0,1.0
2010-03-10,2345.0304971888518,0.0,1.0
2010-03-11,2345.0304971888518,0.0,1.0
2010-03-12,2345.0304971888518,0.0,1.0
2010-03-13,2345.0304971888518,0.0,1.0
2010-03-14,2345.0304971888518,0.0,1.0
2010-03-15,2345.0304971888518,0.0,1.0
2010-03-16,2345.0304971888518,0.0,1.0
2010-03-17,2345.0304971888518,0.0,1.0
2010-03-18,2345.0304971888518,0.0,1.0
2010-03-19,2345.0304971888518,0.0,1.0
2010-03-20,2345.0304971888518,0.0,1.0
2010-03-21,2345.0304971888518,0.0,1.0
2010-03-22,2345.0304971888518,0.0,1.0
2010-03-23,2345.0304971888518,0.0,1.0
2010-03-24,2345.0304971888518,0.0,1.0
2010-03-25,2345.0304971888518,0.0,1.0
2010-03-26,2345.0304971888518,0.0,1.0
2010-03-27,2345.0304971888518,0.0,1.0
2010-03-28,2345.0304971888518,0.0,1.0
2010-03-29,2345.0304971888518,0.0,1.0
2010-03-30,2345.0304971888518,0.0,1.0
2010-03-31,2345.0304971888518,0.0,1.0
2010-04-01,2345.0304971888518,0.0,1.0
2010-04-02,2345.0304971888518,0.0,1.0
2010-04-03,2345.0304971888518,0.0,1.0
2010-04-04,2345.0304971888518,0.0,1.0
2010-04-05,2345.0304971888518,0.0,1.0
2010-04-06,2345.0304971888518,0.0,1.0
2010-04-07,2345.0304971888518,0.0,1.0
2010-04-08,2345.0304971888518,0.0,1.0
2010-04-09,2345.0304971888518,0.0,1.0
2010-04-10,2345.0304971888518,0.0,1.0
2010-04-11,2345.0304971888518,0.0,1.0
2010-04-12,2345.0304971888518,0.0,1.0
2010-04-13,2345.0304971888518,0.0,1.0
2010-04-14,2345.0304971888518,0.0,1.0
2010-04-15,2345.0304971888518,0.0,1.0
2010-04-16,2345.0304971888518,0.0,1.0
2010-04-17,2345.0304971888518,0.0,1.0
2010-04-18,2345.0304971888518,0.0,1.0
2010-04-19,2345.0304971888518,0.0,1.0
2010-04-20,2345.0304971888518,0.0,1.0
2010-04-21,2345.0304971888518,0.0,1.0
2010-04-22,2345.0304971888518,0.0,1.0
2010-04-23,2345.0304971888518,0.0,1.0
2010-04-24,2345.0304971888518,0.0,1.0
2010-04-25,2345.0304971888518,0.0,1.0
2010-04-26,2345.0304971888518,0.0,1.0
2010-04-27,2345.0304971888518,0.0,1.0
2010-04-28,2345.0304971888518,0.0,1.0
2010-04-29,2345.0304971888518,0.0,1.0
