,20_vwap,20_vol,20_return
2010-01-05,9880.0,0.0,1.0
2010-01-06,9880.0,0.0,1.0
2010-01-07,9880.0,0.0,1.0
2010-01-08,9880.0,0.0,1.0
2010-01-09,9880.0,0.0,1.0
2010-01-10,9880.0,0.0,1.0
2010-01-11,9880.0,0.0,1.0
2010-01-12,9880.0,0.0,1.0
2010-01-13,9880.0,0.0,1.0
2010-01-14,9880.0,0.0,1.0
2010-01-15,9880.0,0.0,1.0
2010-01-16,9880.0,0.0,1.0
2010-01-17,9880.0,0.0,1.0
2010-01-18,9880.0,0.0,1.0
2010-01-19,9880.0,0.0,1.0
2010-01-20,9880.0,0.0,1.0
2010-01-21,9880.0,0.0,1.0
2010-01-22,9880.0,0.0,1.0
2010-01-23,9880.0,0.0,1.0
2010-01-24,9880.0,0.0,1.0
2010-01-25,9880.0,0.0,1.0
2010-01-26,9880.0,0.0,1.0
2010-01-27,9880.0,0.0,1.0
2010-01-28,9880.0,0.0,1.0
2010-01-29,9880.0,0.0,1.0
2010-01-30,9880.0,0.0,1.0
2010-01-31,9880.0,0.0,1.0
2010-02-01,9880.0,0.0,1.0
2010-02-02,9880.0,0.0,1.0
2010-02-03,9880.0,0.0,1.0
2010-02-04,9880.0,0.0,1.0
2010-02-05,9880.0,0.0,1.0
2010-02-06,9880.0,0.0,1.0
2010-02-07,9880.0,0.0,1.0
2010-02-08,9880.0,0.0,1.0
2010-02-09,9880.0,0.0,1.0
2010-02-10,9880.0,0.0,1.0
2010-02-11,9880.0,0.0,1.0
2010-02-12,9880.0,0.0,1.0
2010-02-13,9880.0,0.0,1.0
2010-02-14,9880.0,0.0,1.0
2010-02-15,9880.0,0.0,1.0
2010-02-16,9880.0,0.0,1.0
2010-02-17,9880.0,0.0,1.0
2010-02-18,9880.0,0.0,1.0
2010-02-19,9880.0,0.0,1.0
2010-02-20,9880.0,0.0,1.0
2010-02-21,9880.0,0.0,1.0
2010-02-22,9880.0,0.0,1.0
2010-02-23,9880.0,0.0,1.0
2010-02-24,9880.0,0.0,1.0
2010-02-25,9880.0,0.0,1.0
2010-02-26,9880.0,0.0,1.0
2010-02-27,9880.0,0.0,1.0
2010-02-28,9880.0,0.0,1.0
2010-03-01,9880.0,0.0,1.0
2010-03-02,9880.0,0.0,1.0
2010-03-03,9880.0,0.0,1.0
2010-03-04,9880.0,0.0,1.0
2010-03-05,9880.0,0.0,1.0
2010-03-06,9880.0,0.0,1.0
2010-03-07,9880.0,0.0,1.0
2010-03-08,9880.0,0.0,1.0
2010-03-09,9880.0,0.0,1.0
2010-03-10,9880.0,0.0,1.0
2010-03-11,9880.0,0.0,1.0
2010-03-12,9880.0,0.0,1.0
2010-03-13,9880.0,0.0,1.0
2010-03-14,9880.0,0.0,1.0
2010-03-15,9880.0,0.0,1.0
2010-03-16,9880.0,0.0,1.0
2010-03-17,9880.0,0.0,1.0
2010-03-18,9880.0,0.0,1.0
2010-03-19,9880.0,0.0,1.0
2010-03-20,9880.0,0.0,1.0
2010-03-21,9880.0,0.0,1.0
2010-03-22,9880.0,0.0,1.0
2010-03-23,9880.0,0.0,1.0
