,15_vwap,15_vol,15_return
2010-01-05,1266.8933237791741,0.0,1.0
2010-01-06,1266.8933237791741,0.0,1.0
2010-01-07,1266.8933237791741,0.0,1.0
2010-01-08,1266.8933237791741,0.0,1.0
2010-01-09,1266.8933237791741,0.0,1.0
2010-01-10,1266.8933237791741,0.0,1.0
2010-01-11,1266.8933237791741,0.0,1.0
2010-01-12,1266.8933237791741,0.0,1.0
2010-01-13,1266.8933237791741,0.0,1.0
2010-01-14,1266.8933237791741,0.0,1.0
2010-01-15,1266.8933237791741,0.0,1.0
2010-01-16,1266.8933237791741,0.0,1.0
2010-01-17,1266.8933237791741,0.0,1.0
2010-01-18,1266.8933237791741,0.0,1.0
2010-01-19,1266.8933237791741,0.0,1.0
2010-01-20,1266.8933237791741,0.0,1.0
2010-01-21,1266.8933237791741,0.0,1.0
2010-01-22,1266.8933237791741,0.0,1.0
2010-01-23,1266.8933237791741,0.0,1.0
2010-01-24,1266.8933237791741,0.0,1.0
2010-01-25,1266.8933237791741,0.0,1.0
2010-01-26,1266.8933237791741,0.0,1.0
2010-01-27,1266.8933237791741,0.0,1.0
2010-01-28,1266.8933237791741,0.0,1.0
2010-01-29,1266.8933237791741,0.0,1.0
2010-01-30,1266.8933237791741,0.0,1.0
2010-01-31,1266.8933237791741,0.0,1.0
2010-02-01,1266.8933237791741,0.0,1.0
2010-02-02,1266.8933237791741,0.0,1.0
2010-02-03,1266.8933237791741,0.0,1.0
2010-02-04,1266.8933237791741,0.0,1.0
2010-02-05,1266.8933237791741,0.0,1.0
2010-02-06,1266.8933237791741,0.0,1.0
2010-02-07,1266.8933237791741,0.0,1.0
2010-02-08,1266.8933237791741,0.0,1.0
2010-02-09,1266.8933237791741,0.0,1.0
2010-02-10,1266.8933237791741,0.0,1.0
2010-02-11,1266.8933237791741,0.0,1.0
2010-02-12,1266.8933237791741,0.0,1.0
2010-02-13,1266.8933237791741,0.0,1.0
2010-02-14,1266.8933237791741,0.0,1.0
2010-02-15,1266.8933237791741,0.0,1.0
2010-02-16,1266.8933237791741,0.0,1.0
2010-02-17,1266.8933237791741,0.0,1.0
2010-02-18,1266.8933237791741,0.0,1.0
2010-02-19,1266.8933237791741,0.0,1.0
2010-02-20,1266.8933237791741,0.0,1.0
2010-02-21,1266.8933237791741,0.0,1.0
2010-02-22,1266.8933237791741,0.0,1.0
2010-02-23,1266.8933237791741,0.0,1.0
2010-02-24,1266.8933237791741,0.0,1.0
2010-02-25,1266.8933237791741,0.0,1.0
2010-02-26,1266.8933237791741,0.0,1.0
2010-02-27,1266.8933237791741,0.0,1.0
2010-02-28,1266.8933237791741,0.0,1.0
2010-03-01,1266.8933237791741,0.0,1.0
2010-03-02,1266.8933237791741,0.0,1.0
2010-03-03,1266.8933237791741,0.0,1.0
2010-03-04,1266.8933237791741,0.0,1.0
2010-03-05,1266.8933237791741,0.0,1.0
2010-03-06,1266.8933237791741,0.0,1.0
2010-03-07,1266.8933237791741,0.0,1.0
2010-03-08,1266.8933237791741,0.0,1.0
2010-03-09,1266.8933237791741,0.0,1.0
2010-03-10,1266.8933237791741,0.0,1.0
2010-03-11,1266.8933237791741,0.0,1.0
2010-03-12,1266.8933237791741,0.0,1.0
2010-03-13,1266.8933237791741,0.0,1.0
2010-03-14,1266.8933237791741,0.0,1.0
2010-03-15,1266.8933237791741,0.0,1.0
2010-03-16,1266.8933237791741,0.0,1.0
2010-03-17,1266.8933237791741,0.0,1.0
2010-03-18,1266.8933237791741,0.0,1.0
2010-03-19,1266.8933237791741,0.0,1.0
2010-03-20,1266.8933237791741,0.0,1.0
2010-03-21,1266.8933237791741,0.0,1.0
2010-03-22,1266.8933237791741,0.0,1.0
2010-03-23,1266.8933237791741,0.0,1.0
2010-03-24,1266.8933237791741,0.0,1.0
2010-03-25,1266.8933237791741,0.0,1.0
2010-03-26,1266.8933237791741,0.0,1.0
2010-03-27,1266.8933237791741,0.0,1.0
2010-03-28,1266.8933237791741,0.0,1.0
2010-03-29,1266.8933237791741,0.0,1.0
2010-03-30,1266.8933237791741,0.0,1.0
2010-03-31,1266.8933237791741,0.0,1.0
2010-04-01,1266.8933237791741,0.0,1.0
2010-04-02,1266.8933237791741,0.0,1.0
2010-04-03,1266.8933237791741,0.0,1.0
2010-04-04,1266.8933237791741,0.0,1.0
2010-04-05,1266.8933237791741,0.0,1.0
2010-04-06,1266.8933237791741,0.0,1.0
2010-04-07,1266.8933237791741,0.0,1.0
2010-04-08,1266.8933237791741,0.0,1.0
2010-04-09,1266.8933237791741,0.0,1.0
2010-04-10,1266.8933237791741,0.0,1.0
2010-04-11,1266.8933237791741,0.0,1.0
2010-04-12,1266.8933237791741,0.0,1.0
