,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
2010-01-21,271306.0,0.0,41866.0,38970.0,0.0,0.0,77808.0,322514.0,0.0,354356.0,0.0,0.0,0.0,0.0,0.0,0.0,366076.0,600738.0,0.0,0.0,0.0,694560.0,0.0,0.0,960078.0,0.0,1028330.0,0.0,0.0,0.0,3405532.0,438802.0,43326.0,0.0,940346.0,0.0,547878.0
2010-01-22,280468.0,0.0,279484.0,35290.0,0.0,0.0,170756.0,360868.0,0.0,445770.0,0.0,0.0,0.0,0.0,0.0,0.0,429636.0,667166.0,0.0,0.0,0.0,786498.0,0.0,0.0,1206928.0,0.0,1121330.0,0.0,0.0,0.0,2611058.0,575842.0,113654.0,0.0,1152992.0,0.0,627256.0
2010-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-25,337590.0,0.0,164126.0,34946.0,0.0,0.0,88930.0,220956.0,0.0,316774.0,0.0,0.0,0.0,0.0,0.0,0.0,319042.0,420922.0,0.0,0.0,0.0,800618.0,0.0,0.0,870920.0,0.0,854122.0,0.0,0.0,0.0,1631908.0,416496.0,48942.0,0.0,886074.0,0.0,569720.0
2010-01-26,469964.0,0.0,167842.0,37918.0,0.0,0.0,73648.0,270700.0,0.0,356988.0,0.0,0.0,0.0,0.0,0.0,0.0,279994.0,598080.0,0.0,0.0,0.0,765660.0,0.0,0.0,818438.0,0.0,969602.0,0.0,0.0,0.0,1960356.0,442774.0,56266.0,0.0,797388.0,0.0,810324.0
2010-01-27,618346.0,0.0,130142.0,28192.0,0.0,0.0,76426.0,156042.0,0.0,336322.0,0.0,0.0,0.0,0.0,0.0,0.0,392748.0,430302.0,0.0,0.0,0.0,665158.0,0.0,0.0,1452608.0,0.0,1294262.0,0.0,0.0,0.0,1709042.0,629802.0,49618.0,0.0,926406.0,0.0,694568.0
2010-01-28,401036.0,0.0,246722.0,36298.0,0.0,0.0,95088.0,177700.0,0.0,517196.0,0.0,0.0,0.0,0.0,0.0,0.0,346634.0,547922.0,0.0,0.0,0.0,631260.0,0.0,0.0,1793280.0,0.0,1285950.0,0.0,0.0,0.0,1442152.0,718966.0,58564.0,0.0,858150.0,0.0,421810.0
2010-01-29,260010.0,0.0,216632.0,27928.0,0.0,0.0,76918.0,140576.0,0.0,533148.0,0.0,0.0,0.0,0.0,0.0,0.0,233472.0,452362.0,0.0,0.0,0.0,720430.0,0.0,0.0,1234730.0,0.0,1299312.0,0.0,0.0,0.0,1643280.0,564638.0,52296.0,0.0,714212.0,0.0,827052.0
2010-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-01,404226.0,0.0,365134.0,27820.0,0.0,0.0,72168.0,213190.0,0.0,613758.0,0.0,0.0,0.0,0.0,0.0,0.0,279476.0,833464.0,0.0,0.0,0.0,575630.0,0.0,0.0,1156352.0,0.0,1365382.0,0.0,0.0,0.0,2245580.0,567368.0,31668.0,0.0,649712.0,0.0,1013900.0
2010-02-02,374216.0,0.0,195944.0,34270.0,0.0,0.0,70570.0,188548.0,0.0,459210.0,0.0,0.0,0.0,0.0,0.0,0.0,285476.0,778576.0,0.0,0.0,0.0,459552.0,0.0,0.0,2453104.0,0.0,1102852.0,0.0,0.0,0.0,2678750.0,587684.0,34872.0,0.0,558644.0,0.0,810960.0
2010-02-03,291828.0,0.0,265736.0,22652.0,78.0,0.0,111012.0,185318.0,0.0,521424.0,0.0,0.0,0.0,0.0,0.0,0.0,350372.0,602854.0,0.0,0.0,0.0,470082.0,0.0,0.0,1448836.0,0.0,1118336.0,0.0,0.0,0.0,2583378.0,512110.0,61714.0,0.0,590224.0,0.0,1037794.0
2010-02-04,250836.0,0.0,205176.0,20648.0,40.0,0.0,62290.0,204706.0,0.0,448626.0,0.0,0.0,0.0,0.0,0.0,0.0,324312.0,689128.0,0.0,0.0,0.0,447708.0,0.0,0.0,1152348.0,0.0,1131556.0,0.0,0.0,0.0,2231474.0,480464.0,56098.0,0.0,526168.0,0.0,1127826.0
2010-02-05,247760.0,0.0,182194.0,35690.0,0.0,0.0,19816.0,133092.0,0.0,397492.0,0.0,0.0,0.0,0.0,0.0,0.0,103006.0,375108.0,0.0,0.0,0.0,140258.0,0.0,0.0,849018.0,0.0,864122.0,0.0,0.0,0.0,1717834.0,407810.0,20504.0,0.0,213686.0,0.0,818730.0
2010-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-08,224818.0,0.0,130984.0,18340.0,0.0,0.0,30124.0,142414.0,0.0,287106.0,0.0,0.0,0.0,0.0,0.0,0.0,237990.0,472102.0,0.0,0.0,0.0,469448.0,0.0,0.0,577950.0,0.0,983410.0,0.0,0.0,0.0,2100430.0,351958.0,45848.0,0.0,406212.0,0.0,733616.0
2010-02-09,141512.0,0.0,140462.0,16130.0,0.0,0.0,38982.0,88766.0,0.0,398458.0,0.0,0.0,0.0,0.0,0.0,0.0,215592.0,432056.0,0.0,0.0,0.0,351330.0,0.0,0.0,617622.0,0.0,1314372.0,0.0,0.0,0.0,1181616.0,498972.0,33772.0,0.0,327048.0,0.0,855226.0
2010-02-10,301874.0,0.0,83166.0,15046.0,0.0,0.0,54182.0,132442.0,0.0,369886.0,0.0,0.0,0.0,0.0,0.0,0.0,162190.0,679696.0,0.0,0.0,0.0,437390.0,0.0,0.0,732368.0,0.0,886320.0,0.0,0.0,0.0,1952634.0,318814.0,34464.0,0.0,395716.0,0.0,749450.0
2010-02-11,243674.0,0.0,67276.0,11928.0,0.0,0.0,28806.0,51160.0,0.0,255666.0,0.0,0.0,0.0,0.0,0.0,0.0,103400.0,581544.0,0.0,0.0,0.0,233440.0,0.0,0.0,497344.0,0.0,842128.0,0.0,0.0,0.0,1780972.0,160148.0,26682.0,0.0,325808.0,0.0,652966.0
2010-02-12,133426.0,0.0,72248.0,13108.0,0.0,0.0,18800.0,43230.0,0.0,214008.0,0.0,0.0,0.0,0.0,0.0,0.0,56970.0,263086.0,0.0,0.0,0.0,165230.0,0.0,0.0,599756.0,0.0,562740.0,0.0,0.0,0.0,990628.0,254076.0,19066.0,0.0,215640.0,0.0,346586.0
2010-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-22,171358.0,0.0,63048.0,18470.0,184.0,0.0,32008.0,133470.0,0.0,183180.0,0.0,0.0,0.0,0.0,0.0,0.0,71670.0,549232.0,0.0,0.0,0.0,451526.0,0.0,0.0,1054970.0,0.0,545616.0,0.0,0.0,0.0,1787172.0,175356.0,36692.0,0.0,406010.0,0.0,318214.0
2010-02-23,342814.0,0.0,61096.0,19932.0,34.0,0.0,82646.0,139900.0,0.0,150182.0,0.0,0.0,0.0,0.0,0.0,0.0,84162.0,1244840.0,0.0,0.0,0.0,405134.0,0.0,0.0,1146996.0,0.0,805092.0,0.0,0.0,0.0,2200286.0,291920.0,28258.0,0.0,446036.0,0.0,278368.0
2010-02-24,204096.0,0.0,41736.0,16490.0,0.0,0.0,35126.0,124236.0,0.0,250562.0,0.0,0.0,0.0,0.0,0.0,0.0,84090.0,762114.0,0.0,0.0,0.0,309268.0,0.0,0.0,1098396.0,0.0,770868.0,0.0,0.0,0.0,2190174.0,257946.0,24282.0,0.0,299806.0,0.0,188694.0
2010-02-25,205622.0,0.0,42188.0,25200.0,0.0,0.0,35520.0,139740.0,0.0,347632.0,0.0,0.0,0.0,0.0,0.0,0.0,155266.0,850588.0,0.0,0.0,0.0,391804.0,0.0,0.0,929804.0,0.0,1013462.0,0.0,0.0,0.0,2138794.0,351544.0,28074.0,0.0,485420.0,0.0,555306.0
2010-02-26,182764.0,0.0,24016.0,32438.0,0.0,0.0,48930.0,308974.0,0.0,293246.0,0.0,0.0,0.0,0.0,0.0,0.0,100660.0,543500.0,0.0,0.0,0.0,301004.0,0.0,0.0,703270.0,0.0,799944.0,0.0,0.0,0.0,960986.0,252152.0,20262.0,0.0,314572.0,0.0,502622.0
2010-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-01,422318.0,0.0,21838.0,23064.0,0.0,0.0,60686.0,156020.0,0.0,441464.0,0.0,0.0,0.0,0.0,0.0,0.0,104134.0,907410.0,0.0,0.0,0.0,344396.0,0.0,0.0,520326.0,0.0,461718.0,0.0,0.0,0.0,854662.0,289284.0,27442.0,0.0,444226.0,0.0,540002.0
2010-03-02,428678.0,0.0,11246.0,24648.0,0.0,0.0,38312.0,112222.0,0.0,362222.0,0.0,0.0,0.0,0.0,0.0,0.0,165412.0,669428.0,0.0,0.0,0.0,429100.0,0.0,0.0,425622.0,0.0,1071690.0,0.0,0.0,0.0,1668722.0,344184.0,33580.0,0.0,456754.0,0.0,490642.0
2010-03-03,388934.0,0.0,60110.0,32144.0,0.0,0.0,26338.0,294056.0,0.0,290218.0,0.0,0.0,0.0,0.0,0.0,0.0,141560.0,573652.0,0.0,0.0,0.0,377532.0,0.0,0.0,234598.0,0.0,964950.0,0.0,0.0,0.0,975226.0,388682.0,28844.0,0.0,443128.0,0.0,547900.0
2010-03-04,299644.0,0.0,48710.0,30630.0,0.0,0.0,46220.0,221806.0,0.0,405414.0,0.0,0.0,0.0,0.0,0.0,0.0,221440.0,947146.0,0.0,0.0,0.0,332542.0,0.0,0.0,231672.0,0.0,1386844.0,0.0,0.0,0.0,1023494.0,361328.0,35904.0,0.0,431044.0,0.0,610556.0
2010-03-05,212800.0,0.0,64706.0,19612.0,0.0,0.0,33802.0,113964.0,0.0,360476.0,0.0,0.0,0.0,0.0,0.0,0.0,180896.0,703458.0,0.0,0.0,0.0,621082.0,0.0,0.0,233624.0,0.0,1443922.0,0.0,0.0,0.0,791812.0,272814.0,26132.0,0.0,479564.0,0.0,585162.0
2010-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
