,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
2010-01-05,4070.6785400618382,,17434.085878556984,251.6783699173901,,,1895.1371717839236,16577.64187372926,,60368.35732202094,,,,,,,12671.35620298471,3040.744405521594,,,,7350.163773170364,,,4590.846518031258,,24737.058856717355,,,,5946.943020568359,8404.30973008076,7741.35637012761,,8063.740855194648,,21503.55952686416
2010-01-06,4142.71579942173,,18045.989460241057,252.14433166778295,,,1905.5982369723179,16352.794402695397,,61415.41732687644,,,,,,,12628.64677204083,3058.4703912394916,,,,7401.496219190109,,,4622.014227854691,,24933.62183060398,,,,5941.336746467597,8400.61384482687,7705.559178146562,,8097.935423694504,,21784.933492483233
2010-01-07,4086.6129869230263,,18041.04302668718,253.19003426504364,,,1903.4568360147198,16184.562582154698,,61864.106886508176,,,,,,,12465.155687471544,3013.6981757757435,,,,7214.072866829665,,,4531.663210133214,,25097.676131496657,,,,5824.389432068915,8284.331113352131,7619.946268972301,,7962.428631355457,,21976.05760399838
2010-01-08,3999.941500556032,,17574.401962579475,249.89832488830507,,,1915.7524668216467,15953.696598051578,,60499.09614155198,,,,,,,12203.764729210128,2960.4477491336925,,,,7045.442636203174,,,4456.013892640004,,25019.048629856847,,,,5665.516743628997,8139.872639037442,7488.953825833192,,7760.821101648605,,21265.389016633853
2010-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-11,4037.067399764841,,17992.680414596525,257.43987634228796,,,1926.1160485581245,16903.270738474035,,62032.33648902282,,,,,,,12393.261914173601,2990.810476742413,,,,7167.792180096566,,,4502.800911884458,,25709.03254202931,,,,5619.59862124693,8255.773871706722,7532.114424927512,,7854.275455900111,,21604.505909836324
2010-01-12,4004.6524880567836,,18161.958538556475,256.52145251163404,,,1913.641351106432,16936.35895956351,,61479.78902421272,,,,,,,12294.817722054036,2955.756486496746,,,,7048.832952114937,,,4503.44858514058,,25882.0525791181,,,,5571.730160731628,8280.51237205831,7462.417686375509,,7732.139115733895,,21363.832070561977
2010-01-13,3918.4625213836202,,17472.961096570685,250.28813585126437,,,1890.3065226444207,16536.026138660356,,59894.99505301771,,,,,,,11835.36360706649,2879.16821774519,,,,6822.490577396232,,,4423.41437033836,,25452.27826164429,,,,5485.15211020712,8153.449673596396,7323.857120656942,,7518.341108494416,,20603.625905465004
2010-01-14,3931.0459808122564,,17646.54256032055,253.10906599030614,,,1897.8250461307719,16533.912406943135,,60875.058314277856,,,,,,,12028.849194476406,2887.9508335639634,,,,6883.166662013231,,,4448.769039751222,,25776.18634278479,,,,5427.06146129396,8306.168458450977,7367.877095616806,,7573.277390651404,,20705.10034354314
2010-01-15,3929.3315556310567,,17657.764875090386,252.60571755090052,,,1892.9501398481489,16404.267297342012,,60580.327120913644,,,,,,,11900.094841250455,2892.736536680242,,,,6869.972791262979,,,4395.261439463797,,25286.832330284717,,,,5436.7996130695665,8290.996825351502,7830.639439882666,,7530.290996255794,,20546.154320281254
2010-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-18,3908.581937532314,,17595.048028994326,250.98807040959153,,,1894.6452604149065,16319.535946862197,,60575.19138228756,,,,,,,11957.037306994405,2901.277394713333,,,,6809.44604721666,,,4375.654422619758,,24777.14594130775,,,,5430.990431251035,8258.927876121845,7761.590182492947,,7426.7183682511295,,20420.49001540404
2010-01-19,3921.9821126391994,,17722.35740198722,252.44642074605161,,,1898.2168270679704,16376.64453143368,,61559.70945248486,,,,,,,11991.044375101064,2913.839526708008,,,,6849.240233930131,,,4387.945810097013,,25058.203462180696,,,,5452.629700160955,8348.347087063801,7783.471213301922,,7488.142055519693,,21002.142938723115
2010-01-20,3880.9734430356266,,17568.33974506903,252.46353680982293,,,1892.029459568703,16159.264334019002,,61489.03546898494,,,,,,,12114.416396138926,2881.9153530510257,,,,6781.112456095791,,,4363.96565602195,,25440.685114172327,,,,5502.572516367139,8532.58076433386,7774.456809677201,,7412.420546820993,,21113.460560599782
2010-01-21,3878.7124689053394,,17407.507126433786,247.5890775004624,,,1892.4313816340557,16143.545910680356,,60796.205582607196,,,,,,,12238.978698244127,2872.7702275957604,,,,6734.98745982293,,,4343.792634982724,,25356.262984539062,,,,5593.147145122568,8487.675629265012,7735.7707559993405,,7377.639288843825,,20740.597337212053
2010-01-22,3872.599408496853,,17299.42366612392,243.3779958134494,,,1879.0659073237055,16243.216626723895,,59380.21254677218,,,,,,,12119.964314391282,2863.8786120032805,,,,6752.495430623311,,,4297.962136729825,,24653.324108177167,,,,5605.0557728512,8361.716450578399,7742.6418505871525,,7389.266765864901,,20119.034400881766
2010-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
